month_year,bank_name,role_type,total_volume_mn,approved_pct,technical_decline_pct,business_decline_pct,approved_volume_mn,total_decline_pct
2026-04,Idbi Bank Ltd.,Remitter,226.76,91.74,11,8.15,208.03,19.15
2026-04,Tri O Tech Solutions Private Limited,Remitter,180.33,100,0,0,180.33,0
2026-04,Yes Bank Ltd.,Remitter,169.52,91.08,17,8.75,154.4,25.75
2026-04,Karnataka Bank,Remitter,161.94,90.54,7,9.39,146.62,16.39
2026-04,Idfc Bank Ltd.,Remitter,143.99,91.88,4,8.08,132.3,12.08
2026-04,The Jammu & Kashmir Bank Limited,Remitter,116.59,92.08,4,7.88,107.36,11.88
2026-04,Karur Vysya Bank,Remitter,104.46,92.28,20,7.53,96.4,27.53
2026-04,Jio Payments Bank Ltd,Remitter,102.39,80.65,45,18.91,82.58,63.91
2026-04,Bandhan Bank Limited,Remitter,100.26,94.9,42,4.67,95.15,46.67
2026-04,Au Small Finance Bank,Remitter,89.99,86.59,62,12.79,77.92,74.79
2026-04,Baroda U.P. Bank,Remitter,85.89,91.18,3.33,5.48,78.31,8.81
2026-04,The South Indian Bank Limited,Remitter,81.23,93.59,14,6.27,76.02,20.27
2026-04,Nsdl Payments Bank Limited,Remitter,80.35,73.05,3.67,23.28,58.7,26.95
2026-04,Slice Small Finance Bank Limited,Remitter,76.91,94.23,10,5.67,72.47,15.67
2026-04,Punjab And Sind Bank,Remitter,69.04,87.12,29,12.59,60.15,41.59
2026-04,Rajasthan Marudhara Gramin Bank,Remitter,65.75,79.61,6.03,14.36,52.34,20.39
2026-04,Tamilnad Mercantile Bank Limited,Remitter,64.04,91.45,30,8.25,58.56,38.25
2026-04,Ujjivan Small Finance Bank Limited,Remitter,63.65,86.48,75,12.78,55.04,87.78
2026-04,Karnataka Gramin Bank,Remitter,61.4,85.98,2.58,11.44,52.79,14.02
2026-04,City Union Bank,Remitter,60.88,91.38,27,8.35,55.63,35.35
2026-04,Kerala Gramin Bank,Remitter,57.67,92.76,41,6.84,53.49,47.84
2026-04,Telangana Grameena Bank,Remitter,53.21,85.61,3.09,11.3,45.55,14.39
2026-04,Chaitanya Godavari Grameena Bank,Remitter,48.58,86.3,1.03,12.67,41.92,13.7
2026-04,Maharashtra Gramin Bank,Remitter,44.54,83.24,1.17,15.59,37.08,16.76
2026-04,Esaf Small Finance Bank Ltd,Remitter,36.72,94.62,1.69,3.69,34.74,5.38
2026-04,Saraswat Co-Operative Bank,Remitter,34.24,93.48,63,5.89,32.01,68.89
2026-04,Dbs Bank India Limited,Remitter,31.89,91.08,20,8.72,29.05,28.72
2026-04,Rbl Bank Ltd.,Remitter,30.92,90.41,61,8.98,27.95,69.98
2026-04,Equitas Small Finance Bank,Remitter,29.77,88.92,6,11.02,26.47,17.02
2026-04,One Mobikwik Systems Limited,Remitter,29.23,100,0,0,29.23,0
2024-08,State Bank Of India,Remitter,4052.31,94.4,21,5.39,3825.38,26.39
2024-08,HDFC Bank Ltd.,Remitter,1270.59,95.28,6,4.66,1210.62,10.66
2024-08,Bank of Baroda,Remitter,985.86,92.45,60,6.95,911.43,66.95
2024-08,Union Bank Of India,Remitter,941.93,93.51,65,5.83,880.8,70.83
2024-08,Punjab national Bank,Remitter,835,91.99,9,7.92,768.12,16.92
2024-08,Kotak Mahindra Bank,Remitter,772.93,92.43,9,7.48,714.42,16.48
2024-08,Axis bank Ltd.,Remitter,730.47,95.47,0,4.53,697.38,4.53
2024-08,Canara Bank,Remitter,722.42,93.11,78,6.11,672.65,84.11
2024-08,ICICI Bank Ltd.,Remitter,648.75,96.15,9,3.76,623.77,12.76
2024-08,Bank Of India,Remitter,478.26,93.86,53,5.61,448.89,58.61
2024-08,Indian Bank,Remitter,462.16,94.02,6,5.92,434.52,11.92
2024-08,Airtel Payments Bank Ltd,Remitter,437.93,90.01,15,9.84,394.18,24.84
2024-08,India Post Payments Bank Ltd,Remitter,349.66,88.27,74,10.99,308.64,84.99
2024-08,Federal bank Ltd.,Remitter,221.37,94.22,3,5.75,208.57,8.75
2024-08,Central Bank of India,Remitter,218.28,88.36,59,11.05,192.87,70.05
2024-08,Indian Overseas Bank,Remitter,217.93,92.44,1.64,5.92,201.45,7.56
2024-08,UCO Bank,Remitter,200.84,92.29,12,7.59,185.36,19.59
2024-08,IDBI Bank,Remitter,166.58,94.17,26,5.57,156.87,31.57
