bank_name,month_year,remitter_td_pct,beneficiary_td_pct,remitter_debit_friction_delta,remitter_lost_vol_mn,beneficiary_lost_vol_mn
"JIO Payments Bank Ltd",2025-01,1.63,0.00,1.63,0.63,0.00
"Rajasthan Marudhara Gramin Bank",2026-01,1.99,0.36,1.63,1.14,0.09
"Kerala Gramin Bank",2025-07,1.64,0.01,1.63,0.77,0.00
"Karnataka Gramin Bank",2024-12,4.36,2.74,1.62,1.43,0.42
"NSDL Payments Bank Limited",2025-12,2.19,0.57,1.62,1.47,0.56
"India Post Payment Bank",2024-03,5.98,4.38,1.60,18.67,5.76
"Kerala Gramin Bank",2025-06,1.58,0.01,1.57,0.68,0.00
"Rajasthan Marudhara Gramin Bank",2024-10,4.91,3.34,1.57,1.44,0.42
"ESAF Small Finance Bank Ltd",2025-02,1.57,0.01,1.56,0.45,0.00
"Pragathi Krishna Gramin Bank",2024-02,3.64,2.09,1.55,0.84,0.24
"Maharashtra Gramin Bank",2025-07,1.56,0.02,1.54,0.58,0.00
"Telangana Grameena Bank",2025-07,1.54,0.01,1.53,0.62,0.00
"Maharashtra Gramin Bank",2025-05,1.52,0.01,1.51,0.53,0.00
"India Post Payments Bank Ltd.",2025-01,1.51,0.01,1.50,7.50,0.02
"Maharashtra Gramin Bank",2025-03,1.50,0.01,1.49,0.53,0.00
"Bandhan Bank",2024-01,6.32,4.85,1.47,3.11,1.39
"Rajasthan Marudhara Gramin Bank",2025-06,1.47,0.00,1.47,0.49,0.00
"Rajasthan Marudhara Gramin Bank",2024-06,2.22,0.76,1.46,0.56,0.08
"Pragathi Krishna Gramin Bank",2024-05,3.00,1.56,1.44,0.83,0.21
"Kerala Gramin Bank",2025-09,5.88,4.44,1.44,2.94,1.26
"Kerala Gramin Bank",2024-12,4.95,3.54,1.41,2.04,0.82
"Baroda U.P. Bank",2025-04,1.40,0.01,1.39,0.60,0.00
"Uttar Pradesh Gramin Bank",2025-11,3.50,2.11,1.39,2.28,0.69
"JIO Payments Bank Ltd",2025-07,1.39,0.01,1.38,0.81,0.00
"Punjab and Sind Bank",2024-03,4.18,2.81,1.37,1.54,0.46
"Andhra Pradesh Grameena Vikas Bank",2024-05,2.02,0.67,1.35,0.60,0.09
"Karnataka Gramin Bank",2025-05,1.36,0.01,1.35,0.47,0.00
"NSDL Payments Bank Limited",2025-04,1.32,0.00,1.32,0.44,0.00
"Karnataka Gramin Bank",2025-02,1.32,0.01,1.31,0.41,0.00
"Kerala Gramin Bank",2025-03,1.32,0.01,1.31,0.57,0.00
"Uttar Pradesh Gramin Bank",2025-10,4.61,3.30,1.31,2.83,1.01
"Karur Vysya Bank",2024-03,2.51,1.21,1.30,1.70,0.43
"Baroda U.P. Bank",2026-05,4.91,3.61,1.30,4.54,1.77
"NSDL Payments Bank Limited",2026-01,1.80,0.51,1.29,1.30,0.60
"Bank Of India",2025-06,1.30,0.01,1.29,7.42,0.02
"Andhra Pragathi Grameena Bank",2024-05,3.38,2.10,1.28,0.62,0.19
"Karnataka Gramin Bank",2025-10,3.82,2.54,1.28,1.71,0.55
"Sarva Haryana Gramin Bank",2024-09,4.47,3.19,1.28,0.88,0.27
"Tamilnad Mercantile Bank Limited",2025-07,1.27,0.01,1.26,0.71,0.00
"Andhra Pradesh Grameena Vikas Bank",2024-03,3.15,1.89,1.26,0.91,0.26
"Karnataka Bank",2025-04,1.27,0.02,1.25,1.74,0.01
"Maharashtra Gramin Bank",2026-06,3.00,1.75,1.25,1.33,0.32
"Jammu and Kashmir Bank",2024-05,1.60,0.35,1.25,1.06,0.11
"IDBI Bank Limited",2024-01,2.98,1.74,1.24,4.22,1.08
"Karnataka Gramin Bank (Erstwhile Pragathi Krishna Gramin Bank)",2024-07,3.13,1.89,1.24,0.90,0.26
"JIO Payments Bank Ltd",2025-11,1.97,0.74,1.23,1.49,0.56
"Sarva Haryana Gramin Bank",2024-08,5.70,4.48,1.22,1.16,0.39
"Baroda U.P. Bank",2025-06,1.23,0.01,1.22,0.54,0.00
"Baroda U.P. Bank",2026-04,3.33,2.12,1.21,2.86,0.95
"ESAF Small Finance Bank Ltd.",2024-02,3.99,2.78,1.21,0.82,0.28
"Telangana Grameena Bank",2025-04,1.21,0.01,1.20,0.44,0.00
"Rajasthan Marudhara Gramin Bank",2026-02,1.86,0.66,1.20,1.05,0.15
"India Post Payments Bank Ltd",2024-06,2.00,0.80,1.20,6.38,1.10
"Andhra Pradesh Grameena Vikas Bank",2024-04,1.78,0.59,1.19,0.52,0.08
"Kerala Gramin Bank",2025-04,1.20,0.01,1.19,0.50,0.00
"Uttar Pradesh Gramin Bank",2025-12,4.06,2.88,1.18,2.90,1.05
"The Jammu & Kashmir Bank Limited",2025-05,1.18,0.00,1.18,1.14,0.00
"Indian Overseas Bank",2024-09,2.71,1.53,1.18,6.00,1.65
"Ujjivan Small Finance Bank Limited",2025-07,1.16,0.01,1.15,0.64,0.00
"Karnataka Gramin Bank",2025-03,1.16,0.01,1.15,0.42,0.00
"Nsdl Payments Bank Limited",2026-03,1.63,0.48,1.15,1.28,0.63
"Telangana Grameena Bank",2025-11,1.57,0.42,1.15,0.70,0.09
"AU Small Finance Bank",2025-01,1.15,0.01,1.14,0.80,0.00
"India Post Payments Bank Ltd.",2025-02,1.13,0.00,1.13,5.52,0.00
"The Jammu & Kashmir Bank Limited",2025-03,1.14,0.01,1.13,1.01,0.01
"Rajasthan Marudhara Gramin Bank",2026-06,1.52,0.40,1.12,1.06,0.11
"Rajasthan Marudhara Gramin Bank",2024-12,1.79,0.68,1.11,0.53,0.08
"Bank of Baroda",2024-04,1.59,0.49,1.10,14.28,1.84
"TELANGANA GRAMEENA BANK",2026-01,2.34,1.25,1.09,1.14,0.27
"Pragathi Krishna Gramin Bank",2024-03,2.10,1.04,1.06,0.55,0.13
"The Jammu & Kashmir Bank Limited",2025-04,1.05,0.00,1.05,0.99,0.00
"Punjab and Sind Bank",2025-06,1.06,0.01,1.05,0.58,0.00
"JIO Payments Bank Ltd",2025-06,1.01,0.00,1.01,0.53,0.00
"Kerala Gramin Bank",2025-05,1.02,0.01,1.01,0.45,0.00
"Axis Bank Ltd.",2026-04,1.00,0.00,1.00,10.17,0.00
"Kotak Mahindra Bank",2026-04,1.00,0.00,1.00,11.24,0.00
"Kerala Gramin Bank",2025-01,1.01,0.01,1.00,0.42,0.00
"Pragathi Krishna Gramin Bank",2024-06,1.83,0.83,1.00,0.49,0.11
"Axis Bank Ltd.",2026-06,1.00,0.00,1.00,10.27,0.00
"Axis Bank Ltd.",2024-03,1.00,0.00,1.00,6.30,0.00
"Axis Bank Ltd.",2026-05,1.00,0.00,1.00,10.57,0.00
"Kotak Mahindra Bank",2026-05,1.00,0.00,1.00,11.64,0.00
"HDFC Bank Ltd.",2025-08,1.00,0.01,0.99,15.81,0.10
"Axis Bank Ltd.",2025-12,1.00,0.01,0.99,11.07,0.22
"Kotak Mahindra Bank",2025-12,1.00,0.01,0.99,10.76,0.04
"Bank of Baroda",2026-01,1.00,0.01,0.99,15.42,0.06
"HDFC Bank Ltd.",2026-06,1.00,0.01,0.99,16.75,0.11
"Kotak Mahindra Bank",2026-06,1.00,0.01,0.99,11.34,0.05
"Bank of Maharashtra",2024-03,4.83,3.84,0.99,7.41,2.35
"Kerala Gramin Bank",2024-08,2.87,1.89,0.98,1.00,0.35
"Kerala Gramin Bank",2025-08,2.69,1.71,0.98,1.37,0.50
"Paytm Payments Bank",2024-02,1.00,0.02,0.98,2.94,0.51
"Indian Bank",2026-02,1.00,0.02,0.98,7.03,0.06
"HDFC BANK LTD",2024-03,1.00,0.02,0.98,11.59,0.13
"Bank Of India",2025-05,0.99,0.01,0.98,5.81,0.03
"Axis Bank Ltd.",2025-09,1.00,0.02,0.98,9.02,0.40
"Paytm Payments Bank",2024-01,1.00,0.03,0.97,4.10,0.86
"Bank of Maharashtra",2026-01,1.00,0.03,0.97,2.46,0.03
"Union Bank Of India",2026-05,1.00,0.04,0.96,15.09,0.22
"Karnataka Gramin Bank",2025-11,2.29,1.33,0.96,1.10,0.32
"Bandhan Bank",2024-02,4.04,3.09,0.95,1.99,0.90
"Bank of Baroda",2026-02,1.00,0.05,0.95,14.60,0.28
"Andhra Pradesh Grameena Vikas Bank",2024-10,1.39,0.44,0.95,0.46,0.07
"HDFC Bank Ltd.",2025-09,1.00,0.06,0.94,15.36,0.60
"NSDL Payments Bank Limited",2025-09,1.40,0.46,0.94,0.71,0.23
"Ujjivan Small Finance Bank Limited",2025-04,0.94,0.01,0.93,0.49,0.00
"Union Bank of India",2026-02,1.00,0.07,0.93,12.85,0.34
"Kerala Gramin Bank",2024-02,2.88,1.96,0.92,0.73,0.27
"UCO Bank",2024-01,4.16,3.24,0.92,6.34,2.38
"ICICI Bank Ltd.",2025-10,1.00,0.08,0.92,7.70,0.46
"Kerala Gramin Bank",2024-09,2.15,1.23,0.92,0.75,0.23
"Bank Of India",2025-04,0.92,0.01,0.91,5.32,0.02
"Baroda U.P. Bank",2026-06,3.65,2.74,0.91,3.42,1.33
"NSDL Payments Bank Limited",2025-08,1.30,0.40,0.90,0.67,0.24
"Telangana Grameena Bank",2025-08,2.47,1.58,0.89,1.00,0.29
"IDBI Bank Limited",2024-02,6.56,5.67,0.89,9.07,3.45
"Jammu and Kashmir Bank",2024-01,1.24,0.35,0.89,0.55,0.06
"NSDL Payments Bank Limited",2025-07,0.89,0.00,0.89,0.41,0.00
"State Bank of India",2025-03,0.90,0.01,0.89,44.60,0.19
"Jammu and Kashmir Bank",2024-04,1.16,0.28,0.88,0.68,0.08
"Karnataka Gramin Bank",2025-07,0.88,0.00,0.88,0.31,0.00
"Bank of Maharashtra",2026-02,1.00,0.13,0.87,2.30,0.11
"Fino Payments Bank Ltd.",2025-06,0.88,0.01,0.87,1.84,0.01
"Punjab and Sind Bank",2025-07,0.87,0.01,0.86,0.50,0.00
"Rajasthan Marudhara Gramin Bank",2024-09,2.83,1.97,0.86,0.73,0.22
"ICICI Bank Ltd.",2025-09,1.00,0.14,0.86,7.30,0.77
"Rajasthan Marudhara Gramin Bank",2024-08,2.58,1.74,0.84,0.61,0.18
"State Bank of India",2025-01,0.84,0.00,0.84,39.18,0.00
"Central Bank of India",2025-01,0.85,0.01,0.84,2.09,0.01
"State Bank Of India",2024-10,1.61,0.77,0.84,72.10,12.84
"Indian Overseas Bank",2024-10,2.19,1.36,0.83,5.34,1.66
"Jammu and Kashmir Bank",2024-02,1.30,0.48,0.82,0.61,0.10
"Bank Of India",2025-02,0.83,0.01,0.82,4.35,0.02
"Maharashtra Gramin Bank",2025-06,0.85,0.03,0.82,0.29,0.00
"Indian Overseas Bank",2025-11,2.05,1.23,0.82,7.26,2.24
"Karnataka Gramin Bank",2026-04,2.58,1.77,0.81,1.58,0.48
"Central Bank of India",2025-07,0.81,0.01,0.80,2.37,0.01
"Karur Vysya Bank",2025-07,0.81,0.01,0.80,0.77,0.00
"Central Bank Of India",2024-05,1.57,0.77,0.80,3.24,0.73
"The Jammu & Kashmir Bank Limited",2025-11,1.23,0.43,0.80,1.26,0.25
"RBL Bank Ltd.",2025-02,0.79,0.00,0.79,0.23,0.00
"The Jammu & Kashmir Bank Limited",2025-10,1.32,0.53,0.79,1.37,0.30
"Indian Overseas Bank",2024-02,1.84,1.07,0.77,3.10,0.84
"Central Bank Of India",2024-09,1.45,0.69,0.76,3.18,0.86
"Indian Overseas Bank",2025-07,0.76,0.01,0.75,2.45,0.01
"State Bank of India",2025-04,0.75,0.01,0.74,36.38,0.18
"NSDL Payments Bank Limited",2025-06,0.74,0.00,0.74,0.29,0.00
"JIO Payments Bank Ltd",2025-05,0.74,0.00,0.74,0.39,0.00
"Kotak Mahindra Bank",2024-04,1.78,1.05,0.73,12.91,2.97
"The Jammu & Kashmir Bank Limited",2025-06,0.73,0.00,0.73,0.71,0.00
"Central Bank of India",2024-06,1.74,1.02,0.72,3.52,0.96
"Union Bank of India",2024-02,1.68,0.97,0.71,12.67,3.13
"The Jammu & Kashmir Bank Limited",2025-08,1.17,0.47,0.70,1.16,0.25
"TELANGANA GRAMEENA BANK",2026-02,1.33,0.63,0.70,0.60,0.13
"Telangana Grameena Bank",2025-05,0.70,0.00,0.70,0.26,0.00
"Union Bank of India",2025-01,0.68,0.00,0.68,7.39,0.00
"Andhra Pragathi Grameena Bank",2025-08,3.77,3.10,0.67,1.21,0.45
"India Post Payments Bank Ltd",2024-07,2.38,1.71,0.67,8.00,2.48
"AU Small Finance Bank",2025-07,0.68,0.01,0.67,0.53,0.00
"RBL Bank Ltd.",2025-05,0.67,0.00,0.67,0.24,0.00
"Bandhan Bank limited",2025-07,0.67,0.01,0.66,0.60,0.01
"Indian Overseas Bank",2024-06,1.48,0.82,0.66,2.92,0.76
"Telangana Grameena Bank",2026-05,1.57,0.91,0.66,0.86,0.22
"Kerala Gramin Bank",2024-04,1.42,0.77,0.65,0.39,0.11
"Andhra Pradesh Grameena Vikas Bank",2024-06,2.28,1.63,0.65,0.67,0.22
"Maharashtra Gramin Bank",2024-01,4.26,3.62,0.64,0.97,0.39
"Fino Payments Bank Ltd.",2025-07,0.64,0.00,0.64,1.43,0.00
"Indian Overseas Bank",2024-03,2.42,1.78,0.64,4.55,1.56
"Central Bank of India",2025-04,0.64,0.01,0.63,1.67,0.01
"Bandhan Bank limited",2025-04,0.64,0.01,0.63,0.53,0.00
"Kerala Gramin Bank",2025-02,0.63,0.00,0.63,0.25,0.00
"Maharashtra Gramin Bank",2024-06,1.61,0.98,0.63,0.41,0.11
"Indusind Bank Ltd.",2025-06,0.64,0.01,0.63,1.26,0.02
"JIO Payments Bank Ltd",2025-02,0.62,0.00,0.62,0.25,0.00
"Punjab and Sind Bank",2025-03,0.63,0.01,0.62,0.35,0.00
"Maharashtra Gramin Bank",2026-03,3.46,2.84,0.62,1.54,0.53
"Rajasthan Marudhara Gramin Bank",2025-05,0.62,0.00,0.62,0.20,0.00
"State Bank of India",2025-07,0.61,0.00,0.61,31.81,0.00
"AU Small Finance Bank",2025-08,2.33,1.73,0.60,1.85,0.61
"Karnataka Bank",2025-03,0.61,0.01,0.60,0.88,0.01
"Ujjivan Small Finance Bank Limited",2025-03,0.60,0.00,0.60,0.32,0.00
"The South Indian Bank Limited",2025-02,0.60,0.01,0.59,0.38,0.00
"Telangana Grameena Bank",2026-03,1.84,1.25,0.59,0.97,0.29
"Central Bank Of India",2026-05,1.54,0.95,0.59,6.62,1.72
"JIO Payments Bank Ltd",2025-04,0.58,0.00,0.58,0.29,0.00
"Punjab and Sind Bank",2025-02,0.59,0.01,0.58,0.29,0.00
"Bank Of India",2025-03,0.58,0.00,0.58,3.45,0.00
"Bank of India",2024-05,1.68,1.10,0.58,7.64,2.24
"NSDL Payments Bank Limited",2024-11,1.31,0.73,0.58,0.32,0.08
"Telangana Grameena Bank",2025-09,2.44,1.87,0.57,0.97,0.35
"Indian Overseas Bank",2024-01,1.31,0.75,0.56,2.16,0.58
"Maharashtra Gramin Bank",2025-12,1.52,0.97,0.55,0.60,0.16
"Andhra Pradesh Grameena Vikas Bank",2024-09,1.23,0.68,0.55,0.37,0.09
"NSDL Payments Bank Limited",2024-12,1.40,0.86,0.54,0.39,0.10
"State Bank of India",2025-06,0.54,0.00,0.54,26.55,0.00
"Union Bank of India",2024-03,1.40,0.86,0.54,11.88,3.07
"Central Bank Of India",2026-04,1.39,0.86,0.53,5.68,1.50
"Karur Vysya Bank",2024-08,1.30,0.77,0.53,0.96,0.36
"Equitas Small Finance Bank",2025-02,0.54,0.01,0.53,0.15,0.00
"Punjab and Sind Bank",2025-05,0.53,0.00,0.53,0.30,0.00
"Maharashtra Gramin Bank",2024-10,2.27,1.74,0.53,0.68,0.24
"Central Bank of India",2025-02,0.52,0.00,0.52,1.22,0.00
"RBL Bank Ltd.",2025-03,0.53,0.01,0.52,0.19,0.01
"Central Bank of India",2025-05,0.52,0.00,0.52,1.38,0.00
"Central Bank of India",2024-11,1.07,0.55,0.52,2.39,0.58
"Baroda UP Gramin Bank",2024-10,1.48,0.96,0.52,0.46,0.15
"Karur Vysya Bank",2024-09,1.25,0.73,0.52,0.92,0.28
"India Post Payment Bank",2024-04,1.16,0.65,0.51,3.13,0.73
"Tamilnad Mercantile Bank Limited",2025-03,0.52,0.01,0.51,0.27,0.00
"Bank of Maharashtra",2025-02,0.50,0.00,0.50,0.92,0.00
"Tamilnad Mercantile Bank Limited",2025-02,0.50,0.00,0.50,0.23,0.00
"Ujjivan Small Finance Bank",2024-01,1.59,1.09,0.50,0.61,0.21
"Bank of Baroda",2024-02,1.03,0.54,0.49,8.10,1.82
"Airtel Payments Bank",2024-01,1.07,0.58,0.49,3.61,1.07
"Andhra Pradesh Grameena Bank",2025-11,1.56,1.07,0.49,0.49,0.16
"RBL Bank Ltd.",2025-07,0.48,0.00,0.48,0.15,0.00
"Bandhan Bank limited",2025-06,0.49,0.01,0.48,0.42,0.00
"Bank of India",2024-04,1.31,0.84,0.47,5.76,1.66
"Union Bank of India",2025-04,0.47,0.00,0.47,5.36,0.00
"IDBI Bank Ltd.",2025-05,0.47,0.00,0.47,0.94,0.00
"Karnataka Gramin Bank",2026-05,1.69,1.22,0.47,1.07,0.35
"Andhra Pragathi Grameena Bank",2025-09,3.22,2.75,0.47,1.01,0.39
"Airtel Payments Bank Limited",2025-04,0.46,0.00,0.46,2.61,0.00
"Punjab and Sind Bank",2025-04,0.47,0.01,0.46,0.26,0.00
"Karnataka Bank",2025-02,0.47,0.01,0.46,0.60,0.01
"Kerala Gramin Bank",2024-07,1.85,1.39,0.46,0.59,0.24
"ESAF SMALL FINANCE BANK LTD",2026-06,2.03,1.57,0.46,0.76,0.27
"Kerala Gramin Bank",2024-05,1.37,0.91,0.46,0.40,0.14
"RBL Bank Ltd.",2025-04,0.45,0.00,0.45,0.16,0.00
"Baroda U.P. Bank",2024-12,1.29,0.84,0.45,0.43,0.14
"Indian Overseas Bank",2025-06,0.45,0.00,0.45,1.34,0.00
"NSDL Payments Bank Limited",2025-05,0.45,0.00,0.45,0.16,0.00
"Canara Bank",2025-02,0.44,0.00,0.44,3.52,0.00
"Airtel Payments Bank Limited",2025-01,0.45,0.01,0.44,2.49,0.04
"Indian Overseas Bank",2024-04,1.74,1.31,0.43,3.27,1.14
"Equitas Small Finance Bank",2025-04,0.44,0.01,0.43,0.13,0.00
"Karnataka Gramin Bank",2025-08,1.26,0.83,0.43,0.44,0.14
"AU Small Finance Bank",2025-02,0.43,0.00,0.43,0.29,0.00
"Esaf Small Finance Bank Ltd",2026-04,1.69,1.27,0.42,0.62,0.21
"Central Bank of India",2025-06,0.42,0.00,0.42,1.12,0.00
"Karnataka Gramin Bank",2026-06,1.42,1.00,0.42,0.88,0.28
"Airtel Payments Bank Limited",2025-05,0.42,0.00,0.42,2.41,0.00
"Maharashtra Gramin Bank",2026-04,1.17,0.76,0.41,0.52,0.14
"Kotak Mahindra Bank",2024-02,1.42,1.01,0.41,8.66,2.45
"India Post Payments Bank Limited",2025-06,0.41,0.00,0.41,2.38,0.00
"Tri O Tech Solutions Private Limited",2025-11,0.00,0.41,-0.41,0.00,0.28
"India Post Payments Bank Limited",2025-09,1.44,1.91,-0.47,9.47,5.54
"Karnataka Bank",2024-11,1.01,1.51,-0.50,1.24,0.87
"Tri O Tech Solutions Private Limited",2024-01,0.00,0.60,-0.60,0.00,0.11
"Maharashtra Gramin Bank",2024-09,1.23,1.84,-0.61,0.32,0.22
"Maharashtra Gramin Bank",2025-08,2.44,3.11,-0.67,0.93,0.50
"Indian Overseas Bank",2025-12,1.01,2.00,-0.99,3.78,3.82
"Rajasthan Marudhara Gramin Bank",2024-07,10.47,12.15,-1.68,2.68,1.41
"Maharashtra Gramin Bank",2024-07,11.07,14.68,-3.61,2.83,1.80
"Andhra Pradesh Grameena Vikas Bank",2024-12,1.64,6.01,-4.37,0.49,0.85
"Andhra Pragathi Grameena Bank",2024-07,7.99,12.37,-4.38,1.44,1.19
"Pragathi Krishna Gramin Bank",2024-01,10.41,15.40,-4.99,2.55,2.05
"Kerala Gramin Bank",2024-01,3.96,10.46,-6.50,0.93,1.50
"Rajasthan Marudhara Gramin Bank",2025-08,2.69,13.80,-11.11,0.88,2.05
"Maharashtra Gramin Bank",2025-09,3.12,16.76,-13.64,0.95,2.48
"Karnataka Gramin Bank",2025-09,5.85,20.89,-15.04,1.82,5.25
