bank_name,month_year,remitter_td_pct,beneficiary_td_pct,remitter_debit_friction_delta,remitter_lost_vol_mn,beneficiary_lost_vol_mn
"Bank Of India",2026-03,46.00,0.55,45.45,333.95,1.68
"Bank of Baroda",2024-03,45.00,0.13,44.87,397.27,0.48
"Jio Payments Bank Ltd",2026-04,45.00,0.23,44.77,46.08,0.19
"Canara Bank",2024-02,45.00,0.29,44.71,260.19,0.79
"Ujjivan Small Finance Bank Limited",2025-09,45.00,0.30,44.70,24.22,0.08
"Bank of India",2024-09,45.00,0.41,44.59,216.15,0.86
"Tamilnad Mercantile Bank Limited",2025-11,45.00,0.47,44.53,25.96,0.18
"Karur Vysya Bank",2024-07,44.00,0.24,43.76,31.66,0.10
"Indian Overseas Bank",2024-05,44.00,0.24,43.76,87.10,0.23
"Canara Bank",2024-01,44.00,0.28,43.72,251.75,0.75
"Sarva Haryana Gramin Bank",2024-11,44.00,0.32,43.68,8.84,0.03
"Canara Bank",2024-09,44.00,0.32,43.68,318.71,1.20
"Tamilnad Mercantile Bank",2024-05,44.00,0.36,43.64,16.72,0.09
"RBL Bank Limited",2024-09,44.00,0.38,43.62,8.30,0.25
"DBS Bank India Limited",2024-11,44.00,0.50,43.50,12.43,0.05
"Central Bank of India",2024-12,43.00,0.13,42.87,105.14,0.15
"City Union Bank",2024-02,43.00,0.32,42.68,15.75,0.06
"Canara Bank",2024-11,43.00,0.33,42.67,326.92,1.41
"State Bank of India",2025-08,42.00,0.31,41.69,2254.87,6.39
"Bandhan Bank Limited",2026-04,42.00,0.32,41.68,42.11,0.19
"India Post Payments Bank Limited",2026-05,42.00,0.44,41.56,376.30,1.69
"IDFC Bank Ltd.",2026-02,42.00,0.55,41.45,60.26,0.29
"Bank of Maharashtra",2024-10,42.00,0.57,41.43,78.84,0.47
"RBL Bank Ltd.",2026-02,41.00,0.16,40.84,12.90,0.08
"Kerala Gramin Bank",2026-04,41.00,0.24,40.76,23.64,0.07
"ESAF Small Finance Bank Ltd.",2024-04,40.00,0.19,39.81,8.59,0.02
"Karur Vysya Bank",2025-09,40.00,0.19,39.81,37.08,0.08
"RBL Bank Ltd.",2024-08,40.00,0.32,39.68,7.40,0.19
"Punjab National Bank",2024-06,40.00,0.34,39.66,313.48,1.10
"ICICI Bank Ltd.",2026-01,40.00,0.51,39.49,305.70,2.84
"IDBI Bank Ltd.",2025-12,40.00,0.57,39.43,86.48,0.50
"Nsdl Payments Bank Limited",2026-05,39.00,0.17,38.83,32.79,0.22
