bank_name,month_year,current_td_pct,prev_month_td_pct,td_spike_diff,total_volume_mn
"Tamilnad Mercantile Bank Limited",2024-08,46.00,20.00,26.00,41.50
"Indusind Bank Ltd.",2025-08,26.00,0.10,25.90,216.95
"Canara Bank",2024-12,68.00,43.00,25.00,818.65
"The South Indian Bank Limited",2026-05,39.00,14.00,25.00,85.44
"Karnataka Gramin Bank",2025-12,27.00,2.29,24.71,53.94
"Bank of Maharashtra",2025-09,30.00,6.00,24.00,213.37
"Equitas Bank",2024-03,28.00,4.00,24.00,32.26
"Sarva Haryana Gramin Bank",2024-04,74.00,50.00,24.00,18.34
"Bank of Maharashtra",2024-08,25.00,1.15,23.85,163.62
"The South Indian Bank Limited",2025-08,24.00,0.24,23.76,76.06
"City Union Bank",2024-08,49.00,26.00,23.00,44.59
"Karnataka Bank",2024-02,82.00,59.00,23.00,95.34
"Saraswat Co-operative Bank",2024-12,37.00,14.00,23.00,28.07
"Airtel Payments Bank",2024-02,24.00,1.07,22.93,344.18
"Indian Overseas Bank",2024-07,24.00,1.48,22.52,210.05
"Union Bank of India",2024-05,24.00,1.59,22.41,876.18
"State Bank of India",2025-09,64.00,42.00,22.00,5275.12
"Fino Payments Bank Limited",2024-08,39.00,18.00,21.00,151.38
"ICICI Bank",2024-02,29.00,8.00,21.00,539.76
"Karur Vysya Bank",2024-12,39.00,19.00,20.00,83.14
"RBL Bank Limited",2024-05,92.00,72.00,20.00,16.38
"Indian Overseas Bank",2026-01,21.00,1.01,19.99,383.18
"Indian Overseas Bank",2024-11,22.00,2.19,19.81,232.93
"Karur Vysya Bank",2024-04,22.00,2.51,19.49,65.73
"Bank of Maharashtra",2025-12,27.00,8.00,19.00,241.41
"Punjab National Bank",2026-04,32.00,13.00,19.00,1315.38
"UCO Bank",2026-02,21.00,2.00,19.00,298.32
"Union Bank Of India",2026-03,20.00,1.00,19.00,1451.37
"YES Bank Ltd.",2024-11,40.00,21.00,19.00,155.30
"Punjab National Bank",2025-08,19.00,0.19,18.81,1131.31
"City Union Bank",2026-03,38.00,20.00,18.00,62.47
"Kerala Gramin Bank",2026-04,41.00,23.00,18.00,57.67
"The South Indian Bank Limited",2025-11,24.00,6.00,18.00,77.11
"Ujjivan Small Finance Bank Limited",2026-03,25.00,7.00,18.00,64.24
"Yes Bank Ltd.",2024-08,23.00,5.00,18.00,126.41
"Sarva Haryana Gramin Bank",2026-03,20.00,2.66,17.34,29.02
"Standard Chartered",2024-03,19.00,1.78,17.22,25.13
"Airtel Payments Bank Limited",2025-11,23.00,6.00,17.00,655.90
"BANDHAN BANK LIMITED",2025-09,32.00,15.00,17.00,91.72
"HDFC Bank Ltd",2024-06,23.00,6.00,17.00,1191.85
"IDFC FIRST Bank",2024-03,28.00,11.00,17.00,83.30
"Indian Bank",2025-11,28.00,11.00,17.00,688.17
"Ujjivan Small Finance Bank Limited",2025-10,62.00,45.00,17.00,56.36
"Bank Of Maharashtra",2026-05,31.00,15.00,16.00,263.89
"DBS Bank India Limited",2024-02,27.00,11.00,16.00,24.28
"Fino Payments Bank Ltd.",2026-04,22.00,6.00,16.00,268.50
"Icici Bank Ltd.",2026-03,16.00,0.00,16.00,768.31
"Karur Vysya Bank",2024-02,50.00,34.00,16.00,60.33
"Punjab and Sind Bank",2024-07,52.00,36.00,16.00,40.75
"Punjab and Sind Bank",2024-09,65.00,49.00,16.00,43.54
"UCO Bank",2024-06,27.00,11.00,16.00,184.42
"Baroda UP Gramin Bank",2024-09,28.00,12.20,15.80,26.48
"AU small Finance Bank",2024-09,17.00,2.00,15.00,69.23
"City Union Bank",2026-02,20.00,5.00,15.00,57.07
"City Union Bank",2026-06,20.00,5.00,15.00,63.42
"Jio Payments Bank Ltd",2026-04,45.00,30.00,15.00,102.39
"Karur Vysya Bank",2026-03,29.00,14.00,15.00,108.15
"Saraswat Co-Operative Bank",2026-03,52.00,37.00,15.00,34.68
"The South Indian Bank Limited",2026-03,21.00,6.00,15.00,84.24
"Yes Bank Ltd.",2025-08,15.00,0.11,14.89,177.66
"Bank Of India",2025-09,19.00,4.32,14.68,603.94
"Bandhan Bank limited",2025-08,15.00,0.67,14.33,92.44
"Canara Bank",2024-11,43.00,29.00,14.00,760.29
"DBS Bank India Limited",2026-02,22.00,8.00,14.00,29.90
"ICICI Bank Ltd.",2024-11,18.00,4.00,14.00,651.55
"Indusind Bank Ltd.",2026-02,30.00,16.00,14.00,222.25
"Karnataka Bank",2026-05,21.00,7.00,14.00,167.31
"Kotak Mahindra Bank",2026-03,14.00,0.00,14.00,1134.21
"Ujjivan Small Finance Bank Limited",2024-08,42.00,28.00,14.00,45.73
"Yes Bank Ltd",2024-02,24.00,10.00,14.00,93.40
"Indian Bank",2025-08,14.00,0.25,13.75,653.87
"AU Small Finance Bank",2024-11,20.00,7.00,13.00,70.55
"Canara Bank",2025-12,80.00,67.00,13.00,1076.87
"DBS Bank India Limited",2024-10,15.00,2.00,13.00,30.17
"EQUITAS SMALL FINANCE BANK",2026-06,45.00,32.00,13.00,29.99
"Kotak Mahindra Bank",2024-11,23.00,10.00,13.00,804.07
"Punjab and Sind Bank",2024-12,23.00,10.00,13.00,49.27
"Airtel Payments Bank Ltd",2024-07,14.00,1.01,12.99,430.92
"Kotak Mahindra Bank",2025-08,13.00,0.02,12.98,978.17
"Kotak Mahindra Bank",2024-03,14.00,1.42,12.58,703.56
"Airtel Payments Bank Ltd",2024-09,27.00,15.00,12.00,449.25
"AU Small Finance Bank",2024-12,32.00,20.00,12.00,74.62
"Bank Of India",2025-10,31.00,19.00,12.00,642.99
"Bank of Maharashtra",2024-10,42.00,30.00,12.00,187.72
"DBS Bank India Limited",2025-11,13.00,1.00,12.00,30.93
"Fincare Small Finance Bank Ltd",2024-04,59.00,47.00,12.00,21.68
"IDFC First Bank Ltd",2024-08,23.00,11.00,12.00,89.97
"Saraswat Co-operative Bank",2025-12,56.00,44.00,12.00,33.09
"State Bank Of India",2026-03,16.00,4.00,12.00,6262.10
"Airtel Payments Bank Limited",2025-08,12.00,0.11,11.89,637.23
"Airtel Payments Bank Limited",2025-09,23.00,12.00,11.00,626.60
"Airtel Payments Bank Limited",2026-04,34.00,23.00,11.00,772.45
"City Union Bank",2024-02,43.00,32.00,11.00,36.62
"Indian Bank",2026-03,12.00,1.00,11.00,794.12
"INDUSIND BANK Ltd.",2024-10,22.00,11.00,11.00,184.41
"Saraswat Co-Operative Bank",2026-04,63.00,52.00,11.00,34.24
"Tamilnad Mercantile Bank Limited",2025-10,39.00,28.00,11.00,57.59
"The Jammu & Kashmir Bank Limited",2026-03,25.00,14.00,11.00,108.13
"Union Bank of India",2026-06,12.00,1.00,11.00,1482.26
"Yes Bank Ltd.",2026-03,17.00,6.00,11.00,167.38
"City Union Bank",2025-08,11.00,0.14,10.86,57.26
"NSDL Payments Bank Limited",2025-02,15.71,5.00,10.71,30.80
"Au Small Finance Bank",2026-03,10.00,0.00,10.00,92.46
"Dbs Bank India Limited",2026-04,20.00,10.00,10.00,31.89
"IDBI Bank Ltd.",2024-12,26.00,16.00,10.00,186.20
"Karnataka Bank",2026-02,34.00,24.00,10.00,145.72
"Saraswat Co-operative Bank",2026-02,37.00,27.00,10.00,30.91
"Union Bank of India",2025-11,14.00,4.00,10.00,1274.78
"Maharashtra Gramin Bank",2024-07,11.07,1.61,9.46,25.52
"Bank Of India",2024-12,11.00,1.65,9.35,540.44
"Bank Of Baroda",2026-03,10.00,1.00,9.00,1649.23
"Bank of India",2024-10,54.00,45.00,9.00,538.24
"Central Bank Of India",2026-03,89.00,80.00,9.00,409.50
"City Union Bank",2024-09,58.00,49.00,9.00,44.30
"ESAF Small Finance Bank Ltd",2025-10,23.00,14.00,9.00,35.02
"IDFC Bank Ltd.",2025-10,12.00,3.00,9.00,121.18
"Indian Bank",2024-05,24.00,15.00,9.00,427.45
"Karnataka Bank",2025-09,16.00,7.00,9.00,141.24
"Karnataka Bank",2026-01,24.00,15.00,9.00,155.90
"Punjab National Bank",2024-06,40.00,31.00,9.00,783.70
"Rajasthan Marudhara Gramin Bank",2024-07,10.47,2.22,8.25,25.58
"AU small Finance Bank",2024-02,37.00,29.00,8.00,38.80
"Bank of Baroda",2025-09,13.00,5.00,8.00,1356.34
"City Union Bank",2024-05,37.00,29.00,8.00,41.63
"Federal Bank Ltd.",2025-12,11.00,3.00,8.00,287.32
"HDFC BANK LTD",2024-04,9.00,1.00,8.00,1157.04
"ICICI Bank Ltd.",2025-11,9.00,1.00,8.00,743.57
"IDFC FIRST Bank",2024-02,11.00,3.00,8.00,74.34
"Indian Overseas Bank",2026-04,10.00,2.00,8.00,412.91
"Indusind Bank Ltd.",2024-08,17.00,9.00,8.00,165.70
"Punjab And Sind Bank",2026-05,37.00,29.00,8.00,73.48
"Saraswat Co-operative Bank",2025-10,59.00,51.00,8.00,32.19
"Sarva Haryana Gramin Bank",2024-11,44.00,36.00,8.00,20.09
"South Indian Bank",2024-04,12.00,4.00,8.00,52.51
"Tamilnad Mercantile Bank Limited",2024-11,46.00,38.00,8.00,42.47
"Union Bank Of India",2024-11,23.00,15.00,8.00,990.08
"Yes Bank Ltd.",2025-11,17.00,9.00,8.00,175.69
"ESAF Small Finance Bank Ltd",2025-08,8.00,0.04,7.96,34.96
"IDFC Bank Ltd.",2025-08,8.00,0.18,7.82,120.47
"Baroda UP Gramin Bank",2024-03,15.22,8.19,7.03,22.31
"Airtel Payments Bank Limited",2026-02,25.00,18.00,7.00,680.62
"Bank of Baroda",2025-11,11.00,4.00,7.00,1420.10
"Canara Bank",2026-04,26.00,19.00,7.00,1152.59
"Equitas Small Finance Bank",2026-03,9.00,2.00,7.00,30.52
"Federal Bank",2024-02,26.00,19.00,7.00,187.90
"HDFC Bank Ltd.",2024-11,9.00,2.00,7.00,1305.92
"ICICI Bank Ltd.",2024-08,9.00,2.00,7.00,648.75
"Indian Bank",2024-10,18.00,11.00,7.00,513.28
"Indusind Bank Ltd.",2024-11,29.00,22.00,7.00,172.82
"Punjab National Bank",2024-10,18.00,11.00,7.00,955.82
"Punjab National Bank",2025-10,21.00,14.00,7.00,1156.34
"Punjab National Bank",2025-11,28.00,21.00,7.00,1130.68
"Punjab National Bank",2026-02,61.00,54.00,7.00,1150.14
"Saraswat Bank",2024-03,32.00,25.00,7.00,23.28
"State Bank Of India",2024-08,21.00,14.00,7.00,4052.31
"State Bank of India",2026-06,24.00,17.00,7.00,6316.41
"Uco Bank",2026-04,15.00,8.00,7.00,329.07
"Karnataka Bank",2024-12,8.00,1.01,6.99,132.76
"UCO Bank",2024-02,11.00,4.16,6.84,148.69
"Andhra Pragathi Grameena Bank",2024-10,11.34,4.68,6.66,21.92
"JIO Payments Bank Ltd",2025-03,7.23,0.62,6.61,48.73
"Karnataka Bank",2025-08,7.00,0.41,6.59,142.00
"Bank of Baroda",2024-12,10.00,4.00,6.00,1125.93
"Canara Bank",2026-06,15.00,9.00,6.00,1184.48
Citibank,2024-03,32.00,26.00,6.00,20.78
"Equitas Small Finance Bank Ltd",2024-07,77.00,71.00,6.00,33.37
"ESAF Small Finance Bank Ltd",2025-09,14.00,8.00,6.00,34.03
"HDFC Bank Ltd.",2024-08,6.00,0.00,6.00,1270.59
"Indian Bank",2025-09,20.00,14.00,6.00,647.09
"Tamilnad Mercantile Bank Limited",2025-11,45.00,39.00,6.00,57.69
"The South Indian Bank Limited",2025-09,30.00,24.00,6.00,73.96
"UCO Bank",2025-12,15.00,9.00,6.00,311.19
"Baroda U.P. Bank",2025-08,7.63,1.68,5.95,53.78
"Bank of Maharashtra",2025-08,6.00,0.13,5.87,218.97
"Standard Chartered Bank",2025-10,6.00,0.30,5.70,23.00
"DBS Bank India Limited",2025-09,7.00,1.48,5.52,30.33
"Andhra Pragathi Grameena Bank",2024-12,11.16,5.89,5.27,26.11
"The Jammu & Kashmir Bank Limited",2025-07,5.79,0.73,5.06,106.40
"Axis Bank Ltd.",2024-09,5.00,0.00,5.00,739.08
"Bank of Maharashtra",2024-09,30.00,25.00,5.00,165.00
"Fino Payments Bank Ltd.",2024-11,12.00,7.00,5.00,161.47
"Hdfc Bank Ltd.",2026-04,5.00,0.00,5.00,1669.79
"Indian Bank",2024-09,11.00,6.00,5.00,466.01
"The Jammu & Kashmir Bank Limited",2026-06,10.00,5.00,5.00,121.65
"The South Indian Bank Limited",2024-10,14.00,9.00,5.00,64.32
"Ujjivan Small Finance Bank Limited",2024-07,28.00,23.00,5.00,45.78
"Ujjivan Small Finance Bank Limited",2024-10,37.00,32.00,5.00,48.67
"Yes Bank Ltd.",2024-10,21.00,16.00,5.00,165.55
"Punjab and Sind Bank",2024-04,9.01,4.18,4.83,34.51
"Bank of Baroda",2025-08,5.00,0.22,4.78,1369.53
"Karnataka Gramin Bank (Erstwhile Pragathi Krishna Gramin Bank)",2024-08,7.83,3.13,4.70,30.19
"Karnataka Gramin Bank",2025-09,5.85,1.26,4.59,31.17
"TELANGANA GRAMEENA BANK",2026-06,6.07,1.57,4.50,57.90
"Andhra Pradesh Grameena Vikas Bank",2024-11,5.67,1.39,4.28,31.66
"Canara Bank",2026-03,19.00,15.00,4.00,1160.95
"City Union Bank",2025-09,15.00,11.00,4.00,56.06
"Equitas Bank",2024-02,4.00,0.00,4.00,28.88
"Federal Bank Ltd.",2026-02,7.00,3.00,4.00,266.98
"Fino Payments Bank Ltd.",2026-06,54.00,50.00,4.00,279.67
"HDFC Bank Ltd.",2026-02,9.00,5.00,4.00,1525.33
"Indian Bank",2024-08,6.00,2.00,4.00,462.16
"Indusind Bank Ltd.",2025-09,30.00,26.00,4.00,213.90
"Karnataka Bank",2025-10,20.00,16.00,4.00,147.34
"RBL Bank Ltd.",2024-11,35.00,31.00,4.00,23.47
"The South Indian Bank Limited",2024-09,9.00,5.00,4.00,60.27
"Union Bank of India",2024-06,28.00,24.00,4.00,869.16
"Yes Bank Ltd.",2026-06,17.00,13.00,4.00,169.88
"Andhra Pragathi Grameena Bank",2024-04,5.92,2.10,3.82,18.19
"Rajasthan Marudhara Gramin Bank",2025-01,5.43,1.79,3.64,31.82
"NSDL Payments Bank Limited",2025-01,5.00,1.40,3.60,29.28
"IDBI Bank Limited",2024-02,6.56,2.98,3.58,138.33
